timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622996012260,82,HTTP Request,200,OK,Thread Group 1-21,text,true,,14192,162,35,35,http://www.google.com/,82,0,0
1622996012262,80,HTTP Request,200,OK,Thread Group 1-8,text,true,,14108,162,35,35,http://www.google.com/,80,0,0
1622996012231,112,HTTP Request,200,OK,Thread Group 1-30,text,true,,14189,162,35,35,http://www.google.com/,112,0,28
1622996012260,88,HTTP Request,200,OK,Thread Group 1-16,text,true,,14107,162,35,35,http://www.google.com/,88,0,0
1622996012270,79,HTTP Request,200,OK,Thread Group 1-11,text,true,,14174,162,35,35,http://www.google.com/,79,0,0
1622996012276,76,HTTP Request,200,OK,Thread Group 1-18,text,true,,14178,162,36,36,http://www.google.com/,76,0,0
1622996012280,79,HTTP Request,200,OK,Thread Group 1-2,text,true,,14166,162,36,36,http://www.google.com/,79,0,0
1622996012283,77,HTTP Request,200,OK,Thread Group 1-22,text,true,,14108,162,36,36,http://www.google.com/,77,0,0
1622996012284,80,HTTP Request,200,OK,Thread Group 1-17,text,true,,14180,162,36,36,http://www.google.com/,80,0,0
1622996012252,112,HTTP Request,200,OK,Thread Group 1-31,text,true,,14179,162,36,36,http://www.google.com/,112,0,28
1622996012280,84,HTTP Request,200,OK,Thread Group 1-27,text,true,,14259,162,36,36,http://www.google.com/,84,0,0
1622996012285,85,HTTP Request,200,OK,Thread Group 1-4,text,true,,14188,162,36,36,http://www.google.com/,85,0,0
1622996012292,78,HTTP Request,200,OK,Thread Group 1-15,text,true,,14105,162,36,36,http://www.google.com/,78,0,0
1622996012293,80,HTTP Request,200,OK,Thread Group 1-12,text,true,,14153,162,37,37,http://www.google.com/,80,0,0
1622996012302,76,HTTP Request,200,OK,Thread Group 1-7,text,true,,14183,162,37,37,http://www.google.com/,76,0,0
1622996012307,77,HTTP Request,200,OK,Thread Group 1-6,text,true,,14135,162,37,37,http://www.google.com/,77,0,0
1622996012307,81,HTTP Request,200,OK,Thread Group 1-10,text,true,,14196,162,37,37,http://www.google.com/,81,0,0
1622996012307,89,HTTP Request,200,OK,Thread Group 1-28,text,true,,14186,162,38,38,http://www.google.com/,89,0,0
1622996012319,77,HTTP Request,200,OK,Thread Group 1-19,text,true,,14162,162,38,38,http://www.google.com/,77,0,0
1622996012319,77,HTTP Request,200,OK,Thread Group 1-29,text,true,,14226,162,38,38,http://www.google.com/,77,0,0
1622996012307,98,HTTP Request,200,OK,Thread Group 1-3,text,true,,14191,162,38,38,http://www.google.com/,98,0,0
1622996012311,94,HTTP Request,200,OK,Thread Group 1-1,text,true,,14167,162,38,38,http://www.google.com/,94,0,0
1622996012321,84,HTTP Request,200,OK,Thread Group 1-20,text,true,,14173,162,38,38,http://www.google.com/,84,0,0
1622996012272,134,HTTP Request,200,OK,Thread Group 1-32,text,true,,14166,162,38,38,http://www.google.com/,134,0,28
1622996012319,88,HTTP Request,200,OK,Thread Group 1-23,text,true,,14194,162,38,38,http://www.google.com/,88,0,0
1622996012319,88,HTTP Request,200,OK,Thread Group 1-24,text,true,,14203,162,38,38,http://www.google.com/,88,0,0
1622996012324,84,HTTP Request,200,OK,Thread Group 1-25,text,true,,14174,162,38,38,http://www.google.com/,84,0,0
1622996012310,102,HTTP Request,200,OK,Thread Group 1-34,text,true,,14185,162,39,39,http://www.google.com/,102,0,30
1622996012334,81,HTTP Request,200,OK,Thread Group 1-14,text,true,,14143,162,39,39,http://www.google.com/,81,0,0
1622996012326,90,HTTP Request,200,OK,Thread Group 1-9,text,true,,14146,162,39,39,http://www.google.com/,90,0,0
1622996012342,76,HTTP Request,200,OK,Thread Group 1-26,text,true,,14173,162,39,39,http://www.google.com/,76,0,0
1622996012342,77,HTTP Request,200,OK,Thread Group 1-8,text,true,,14150,162,39,39,http://www.google.com/,77,0,0
1622996012337,84,HTTP Request,200,OK,Thread Group 1-5,text,true,,14121,162,39,39,http://www.google.com/,84,0,0
1622996012349,79,HTTP Request,200,OK,Thread Group 1-16,text,true,,14144,162,39,39,http://www.google.com/,79,0,0
1622996012350,80,HTTP Request,200,OK,Thread Group 1-11,text,true,,14184,162,39,39,http://www.google.com/,80,0,0
1622996012291,144,HTTP Request,200,OK,Thread Group 1-33,text,true,,14183,162,40,40,http://www.google.com/,99,0,29
1622996012343,92,HTTP Request,200,OK,Thread Group 1-30,text,true,,14134,162,40,40,http://www.google.com/,92,0,0
1622996012352,85,HTTP Request,200,OK,Thread Group 1-18,text,true,,14200,162,40,40,http://www.google.com/,84,0,0
1622996012342,95,HTTP Request,200,OK,Thread Group 1-21,text,true,,14203,162,40,40,http://www.google.com/,94,0,0
1622996012360,80,HTTP Request,200,OK,Thread Group 1-22,text,true,,14185,162,40,40,http://www.google.com/,80,0,0
1622996012331,109,HTTP Request,200,OK,Thread Group 1-35,text,true,,14254,162,40,40,http://www.google.com/,109,0,27
1622996012359,81,HTTP Request,200,OK,Thread Group 1-2,text,true,,14223,162,40,40,http://www.google.com/,81,0,0
1622996012364,83,HTTP Request,200,OK,Thread Group 1-31,text,true,,14178,162,40,40,http://www.google.com/,83,0,0
1622996012364,84,HTTP Request,200,OK,Thread Group 1-27,text,true,,14153,162,40,40,http://www.google.com/,84,0,0
1622996012324,128,HTTP Request,200,OK,Thread Group 1-13,text,true,,14146,162,41,41,http://www.google.com/,128,0,0
1622996012373,82,HTTP Request,200,OK,Thread Group 1-12,text,true,,14191,162,41,41,http://www.google.com/,82,0,0
